score_mode	temperature	distance	raw_energy	log_likelihood_like_score	normalized_relative_weight	monotonic_nonincreasing
fdg_flat	0.5	1.3800000000000001	0.0	-0.0	1.6487212707001282	0
fdg_flat	0.5	1.4000000000000001	0.0	-0.0	1.6487212707001282	0
fdg_flat	0.5	1.4200000000000002	0.0	-0.0	1.6487212707001282	0
fdg_flat	0.5	1.4400000000000002	0.0	-0.0	1.6487212707001282	0
fdg_flat	0.5	1.4600000000000002	0.0	-0.0	1.6487212707001282	0
fdg_flat	0.5	1.4800000000000002	0.0	-0.0	1.6487212707001282	0
fdg_flat	0.5	1.5000000000000002	4.930380657631324e-32	-9.860761315262648e-32	1.6487212707001282	0
fdg_flat	0.5	1.52	0.0004000000000000007	-0.0008000000000000014	1.647402821133712	0
fdg_flat	0.5	1.54	0.001600000000000003	-0.003200000000000006	1.643453795089776	0
fdg_flat	0.5	1.56	0.0036000000000000064	-0.007200000000000013	1.63689311002712	0
fdg_flat	0.5	1.58	0.006400000000000012	-0.012800000000000023	1.6277521272511632	0
fdg_flat	0.5	1.6	0.010000000000000018	-0.020000000000000035	1.6160744021928934	0
fdg_flat	0.5	1.62	0.014400000000000026	-0.02880000000000005	1.6019153387059768	0
fdg_flat	0.5	1.6400000000000001	0.019600000000000034	-0.03920000000000007	1.585341751221354	0
fdg_flat	0.5	1.6600000000000001	0.025600000000000046	-0.05120000000000009	1.5664313396008156	0
fdg_flat	0.5	1.6800000000000002	0.03240000000000006	-0.06480000000000012	1.5452720824644497	0
fdg_flat	0.5	1.7000000000000002	0.04000000000000007	-0.08000000000000014	1.5219615556186337	0
fdg_flat	0.5	1.7200000000000002	0.04840000000000009	-0.09680000000000018	1.496606182970048	0
fdg_flat	0.5	1.7400000000000002	0.0576000000000001	-0.1152000000000002	1.4693204279671828	0
fdg_flat	0.5	1.7600000000000002	0.06760000000000012	-0.13520000000000024	1.4402259341559465	0
fdg_flat	0.5	1.78	0.07840000000000001	-0.15680000000000002	1.4094506238640903	0
fdg_flat	0.5	1.8	0.09000000000000002	-0.18000000000000005	1.377127764335957	0
fdg_flat	0.5	1.82	0.10240000000000005	-0.2048000000000001	1.343395010822332	0
fdg_flat	0.5	1.84	0.11560000000000005	-0.2312000000000001	1.3083934361896152	0
fdg_flat	0.5	1.86	0.12960000000000008	-0.25920000000000015	1.2722665565498914	0
fdg_flat	0.5	1.8800000000000001	0.14440000000000008	-0.28880000000000017	1.2351593622323003	0
fdg_flat	0.5	1.9000000000000001	0.16000000000000011	-0.32000000000000023	1.19721736312181	0
fdg_flat	0.5	1.9200000000000002	0.17640000000000014	-0.3528000000000003	1.1585856569910848	0
fdg_flat	0.5	1.9400000000000002	0.19360000000000016	-0.3872000000000003	1.1194080289531418	0
