contact_class	n_edges	sum_k	sum_abs_force	sum_energy	mean_r	median_r	p10_r	p90_r	mean_distance	mean_d_scale	mean_prob	force_per_k	frac_k_repulsive	frac_k_zero_force	frac_k_quadratic_attractive	frac_k_tail_attractive	net_force_l2	sum_endpoint_force_l2	cancellation_ratio
cis	189784	44298.5612	10930.9853	3524.08856	1.38482787	0.803668032	0.0626845496	1.70137821	0.796500921	0.628747684	0.705728236	0.246757119	0.0322420984	0.520041378	0.369231241	0.0784852832	9185.44652	21861.9707	0.579843617
trans	44496	4306.00921	3584.99979	4312.56853	2.35265643	2.05020931	0.540922273	4.03431033	1.74161138	0.786320859	0.753637994	0.832557391	0.00345467178	0.222615025	0.261643258	0.512287046	4572.10719	7169.99959	0.36232811
