contact_class	n_edges	sum_k	sum_abs_force	sum_energy	mean_r	median_r	p10_r	p90_r	mean_distance	mean_d_scale	mean_prob	force_per_k	frac_k_repulsive	frac_k_zero_force	frac_k_quadratic_attractive	frac_k_tail_attractive	net_force_l2	sum_endpoint_force_l2	cancellation_ratio
cis	94882	43661.2364	8083.29576	2176.5494	1.30972562	1.31890878	0.605204133	1.76433083	0.730029526	0.608891812	0.713652017	0.185136667	0.0393064567	0.576127649	0.335930305	0.0486355897	6568.33525	16166.5915	0.593709333
trans	22248	3734.28685	2688.45549	3084.13624	2.17497217	1.9074864	0.623656766	3.91822638	1.37375895	0.687279364	0.834171982	0.71993813	0.0050486341	0.280716251	0.292013136	0.422221979	3664.43624	5376.91098	0.318486721
