stage_name	stage_index	n_stages	bin_size_bp	parent_bin_size_bp	config_name	output_dir	input_contact_source	baseline	init_mode	n_iter	relax_steps	relax_step	n_raw	n_bpair	n_beads	n_raw_cis	n_raw_trans	n_bpair_cis	n_bpair_trans	final_mean_entropy	final_mean_pU	final_mean_sep	final_min_sep	final_max_sep	final_sum_wedge_k	final_refreshed_sum_wedge_k	final_refreshed_n_wedges	final_mean_rho_train_bpair	final_min_rho_train_bpair	final_max_rho_train_bpair	final_n_expanded_edges	final_n_softall_candidate_pairs	final_n_softall_bmap_pairs	final_n_softall_selected_raw	final_n_softall_same_bin_skip_raw	final_n_softall_state00_raw	final_n_softall_state01_raw	final_n_softall_state10_raw	final_n_softall_state11_raw	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_n_repulsion_pairs_considered	final_n_repulsion_pairs_blocked	final_n_repulsion_pairs_active	n_same_bin_excluded	posterior_refreshed_after_final_relax	n_bad_iter	n_relax_nonfinite_iter	n_coord_nonfinite	audit_status	write_raw_posterior	init_source	relax_backend
4m	1	2	4000000	0	minimal_soft_sep_off	/mnt/ssd/zliu/phase3/test_res/006-20260616_161250-p9016_softall_random_diploid_4m_1m_chain/outputs/4m/minimal_soft_sep_off	raw_pairs	softall	random_diploid	100	100	0.0120000001	1703888	170758	659	1135454	568434	11473	159285	0.667923212	0.481804758	2.21535516	0.79455632	5.48235226	95312.256489172156	95049.454210181808	143097	1	1	1	189841	4473316	190099	4473316	585559	1118329	1118329	1118329	1118329	7640.99805	3842.0498	221.013336	181971	0	181971	585559	1	0	0	0	OK	0	random_diploid	gpu
1m	2	2	1000000	4000000	minimal_soft_sep_off	/mnt/ssd/zliu/phase3/test_res/006-20260616_161250-p9016_softall_random_diploid_4m_1m_chain/outputs/1m/minimal_soft_sep_off	raw_pairs	softall	random_diploid	100	100	0.0120000001	1703888	489556	2633	1135454	568434	86393	403163	0.62484616	0.450731218	3.5589366	0.0985661149	10.3627157	88651.577063347169	88706.840652400424	213574	1	1	1	213581	5059972	213816	5059972	438895	1264993	1264993	1264993	1264993	18788.8301	16043.6182	710.166321	929346	0	929346	438895	1	0	0	0	OK	0	previous_resolution_lift	gpu
