config_name	policy	base_policy	policy_family	selection_source	scope	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	raw_selection_n_records	raw_selection_total_weight	raw_pair_count	eval_pair_count	raw_eval_pair_intersection_count	selected_pair_count	split_agree_pair_count	split_agree_pair_fraction	split_agree_raw_weight	split_agree_raw_weight_fraction	split_agree_eval_contacts	split_agree_eval_contact_fraction	oracle_comparable_pair_count	oracle_match_pair_count	oracle_match_pair_fraction	oracle_match_raw_weight_fraction	oracle_match_eval_contact_fraction	uses_snp_for_base_gauge	uses_snp_for_pair_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_a_margin_geom_gap	margin_geom_gap	blind_raw_split_a	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	82	0.431578947	0.468413219	0.475145336	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_b_margin_geom_gap	margin_geom_gap	blind_raw_split_b	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	82	0.431578947	0.468413219	0.475145336	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_agree_margin_geom_gap	margin_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	82	0.431578947	0.468413219	0.475145336	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_all_pmax_geom_gap	pmax_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	82	0.431578947	0.468413219	0.475145336	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_a_pmax_geom_gap	pmax_geom_gap	blind_raw_split_a	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	82	0.431578947	0.468413219	0.475145336	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_b_pmax_geom_gap	pmax_geom_gap	blind_raw_split_b	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	82	0.431578947	0.468413219	0.475145336	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_agree_pmax_geom_gap	pmax_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	48562	0.337289984	77149	0.53584253	0.9	60788	0.422206325	0.398220043	0.168131021	0	0	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	82	0.431578947	0.468413219	0.475145336	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_all_posterior_same_cross_mass	posterior_same_cross_mass	blind_raw_all	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	40509	0.281357439	69416	0.482132563	0.9	60788	0.422206325	0.30160558	0.127339783	-0.0559325448	0	403163	568434	190	190	190	190	189	0.994736842	566890	0.997283766	143580	0.997242615	190	59	0.310526316	0.32054381	0.325982622	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_a_posterior_same_cross_mass	posterior_same_cross_mass	blind_raw_split_a	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	40512	0.281378276	69409	0.482083944	0.9	60788	0.422206325	0.301572679	0.127325892	-0.0559117081	0	403163	568434	190	190	190	190	189	0.994736842	566890	0.997283766	143580	0.997242615	190	60	0.315789474	0.323260044	0.328740007	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_b_posterior_same_cross_mass	posterior_same_cross_mass	blind_raw_split_b	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	40509	0.281357439	69416	0.482132563	0.9	60788	0.422206325	0.30160558	0.127339783	-0.0559325448	0	403163	568434	190	190	190	190	189	0.994736842	566890	0.997283766	143580	0.997242615	190	59	0.310526316	0.32054381	0.325982622	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_agree_posterior_same_cross_mass	posterior_same_cross_mass	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	40509	0.281357439	69416	0.482132563	0.9	60788	0.422206325	0.30160558	0.127339783	-0.0559325448	0	403163	568434	190	190	190	190	189	0.994736842	566890	0.997283766	143580	0.997242615	190	59	0.310526316	0.32054381	0.325982622	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_all_same_cross_distance_sum	same_cross_distance_sum	blind_raw_all	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	41020	0.284906617	71160	0.494245609	0.9	60788	0.422206325	0.315621504	0.133257395	-0.0523833668	0	403163	568434	190	190	190	190	187	0.984210526	558678	0.982837058	141550	0.983143141	190	59	0.310526316	0.331982253	0.333664405	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_a_same_cross_distance_sum	same_cross_distance_sum	blind_raw_split_a	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	40416	0.280711503	70373	0.488779458	0.9	60788	0.422206325	0.305405672	0.128944206	-0.0565784813	0	403163	568434	190	190	190	190	187	0.984210526	558678	0.982837058	141550	0.983143141	190	58	0.305263158	0.322174606	0.323384985	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_b_same_cross_distance_sum	same_cross_distance_sum	blind_raw_split_b	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	41033	0.284996909	71182	0.494398411	0.9	60788	0.422206325	0.315424097	0.133174049	-0.0522930746	0	403163	568434	190	190	190	190	187	0.984210526	558678	0.982837058	141550	0.983143141	190	59	0.310526316	0.331982253	0.333664405	1	0	0	1	1	1
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	raw_split_agree_same_cross_distance_sum	same_cross_distance_sum	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	genome_trans	143977	40416	0.280711503	70373	0.488779458	0.9	60788	0.422206325	0.305405672	0.128944206	-0.0565784813	0	403163	568434	190	190	190	190	187	0.984210526	558678	0.982837058	141550	0.983143141	190	58	0.305263158	0.322174606	0.323384985	1	0	0	1	1	1
