source	configuration	split_mode	seed	n_train	n_heldout	n_heldout_signal	blind_heldout_pseudo_nll	blind_heldout_score_kernel_energy	blind_heldout_pmax_surprisal	raw_gauge_exact_top1_accuracy_eval_only	raw_gauge_same_cross_accuracy_eval_only	exact_top1_accuracy_eval_only	same_cross_accuracy_eval_only	exact_log_loss_eval_only	same_cross_log_loss_eval_only	exact_ece_eval_only	same_cross_ece_eval_only	unordered_structure_distance_spearman_eval_only	runtime_seconds	converged	truth_used_in_training_or_selection	contact_metric_gauge_policy	heldout_fit_status	exact_coverage_at_precision_0.55_eval_only	exact_coverage_at_precision_0.60_eval_only	exact_coverage_at_precision_0.70_eval_only	exact_coverage_at_precision_0.80_eval_only	exact_coverage_at_precision_0.90_eval_only	same_cross_coverage_at_precision_0.55_eval_only	same_cross_coverage_at_precision_0.60_eval_only	same_cross_coverage_at_precision_0.70_eval_only	same_cross_coverage_at_precision_0.80_eval_only	same_cross_coverage_at_precision_0.90_eval_only	exact_signal_aware_coverage_at_precision_0.55_eval_only	exact_signal_aware_coverage_at_precision_0.60_eval_only	exact_signal_aware_coverage_at_precision_0.70_eval_only	exact_signal_aware_coverage_at_precision_0.80_eval_only	exact_signal_aware_coverage_at_precision_0.90_eval_only	same_cross_signal_aware_coverage_at_precision_0.55_eval_only	same_cross_signal_aware_coverage_at_precision_0.60_eval_only	same_cross_signal_aware_coverage_at_precision_0.70_eval_only	same_cross_signal_aware_coverage_at_precision_0.80_eval_only	same_cross_signal_aware_coverage_at_precision_0.90_eval_only	historical_scope	pmax_ge_0p9_accuracy_eval_only	pmax_ge_0p9_recall_eval_only
synthetic_model_mismatched	blind_midpoint_delta_pairwise	raw_observation	17	2400	600	554	1.5774159709279854	1.5774159709279854	0.9090902098341599	0.259927797833935	0.5667870036101083	0.259927797833935	0.5667870036101083	1.4988729348021985	0.6976489654706695	0.1548770187665649	0.0743392033702307	0.8563121007871629	0.8038143021985888	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.032490974729241874	0.02888086642599278	0.0	0.0	0.0	1.0	0.7870036101083032	0.12815884476534295	0.0	0.0	0.032490974729241874	0.02888086642599278	0.0	0.0	0.0	1.0	0.7870036101083032	0.12815884476534295	0.0	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	raw_observation	29	2400	600	554	1.6374950203358223	1.6374950203358223	0.8670568231941224	0.26173285198555957	0.5613718411552346	0.30685920577617326	0.572202166064982	1.482426980532993	0.7188245295825303	0.1407585412408441	0.11012333996324117	0.810030602976318	0.8465536027215421	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.6931407942238267	0.2292418772563177	0.032490974729241874	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6931407942238267	0.2292418772563177	0.032490974729241874	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	raw_observation	43	2400	600	554	1.639132273185569	1.639132273185569	0.8353353622535804	0.2815884476534296	0.5884476534296029	0.2779783393501805	0.555956678700361	1.54963265604064	0.7699903355182741	0.17187049958149594	0.13446180321006512	0.7213837385785582	0.7949093319475651	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.6642599277978339	0.15342960288808663	0.0036101083032490976	0.0036101083032490976	0.0	0.0	0.0	0.0	0.0	1.0	0.6642599277978339	0.15342960288808663	0.0036101083032490976	0.0036101083032490976			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	raw_observation	59	2400	600	554	1.640926332654094	1.640926332654094	0.8705740857528326	0.2851985559566787	0.5523465703971119	0.3194945848375451	0.5884476534296029	1.5206445244302216	0.728114247664678	0.1517203792198764	0.10270343469033327	0.7479801889832202	0.7885248460806906	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.9115523465703971	0.2148014440433213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9115523465703971	0.2148014440433213	0.0	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	raw_observation	71	2400	600	554	1.6224838780543158	1.6224838780543158	0.8158890505229534	0.259927797833935	0.5649819494584838	0.30144404332129965	0.5649819494584838	1.4196964522476352	0.7078312586102269	0.1524537881619529	0.1031548638808931	0.8711438281567795	0.9050577292218804	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.6407942238267148	0.23465703971119134	0.030685920577617327	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6407942238267148	0.23465703971119134	0.030685920577617327	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	raw_observation	89	2400	600	554	1.657581821205325	1.657581821205325	0.9246600614747725	0.31227436823104693	0.5613718411552346	0.2779783393501805	0.5433212996389891	1.4450577515372738	0.7182180788938496	0.128791750975708	0.12193736073278826	0.8232247284878865	0.8064048402011395	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	0.9404332129963899	0.6642599277978339	0.08303249097472924	0.030685920577617327	0.0	0.0	0.0	0.0	0.0	0.0	0.9404332129963899	0.6642599277978339	0.08303249097472924	0.030685920577617327	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	raw_observation	101	2400	600	554	1.636060538756701	1.636060538756701	0.9572897050607616	0.2527075812274368	0.5667870036101083	0.3212996389891697	0.5703971119133574	1.382074651803872	0.681934140113866	0.07232355757945343	0.059681521624783074	0.9098776609936711	0.7940004169940948	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.8321299638989169	0.30685920577617326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.8321299638989169	0.30685920577617326	0.0	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	molecule_or_readchain	17	2400	600	548	1.4887590837003521	1.4887590837003521	0.8610856838594749	0.2791970802919708	0.5693430656934306	0.2791970802919708	0.5693430656934306	1.5118169831739214	0.7091808908093835	0.15218582600457986	0.09600726876927336	0.8140342129319809	0.7951043020002544	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.7645985401459854	0.19708029197080293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.7645985401459854	0.19708029197080293	0.0	0.0			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	molecule_or_readchain	29	2400	600	548	1.5904852431650147	1.5904852431650147	0.8711903663653922	0.3266423357664234	0.5967153284671532	0.3102189781021898	0.5821167883211679	1.4395250970245035	0.7064469448017531	0.12151587010031688	0.09586022464520712	0.8002213211912853	0.8151435367763042	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.016423357664233577	0.009124087591240875	0.0	0.0	0.0	1.0	0.7390510948905109	0.22992700729927007	0.07116788321167883	0.016423357664233577	0.016423357664233577	0.009124087591240875	0.0	0.0	0.0	1.0	0.7390510948905109	0.22992700729927007	0.07116788321167883	0.016423357664233577			
synthetic_model_mismatched	blind_midpoint_delta_pairwise	molecule_or_readchain	43	2400	600	548	1.5937477581955606	1.5937477581955606	0.83698647130954	0.2645985401459854	0.5547445255474452	0.3156934306569343	0.5547445255474452	1.4924365286258905	0.7575470079671369	0.1288864408590716	0.1446959539359112	0.7255255649303596	0.8440085388720036	1	none	ORACLE_GEOMETRY_ALIGNMENT_EVAL_ONLY	RUN_SYNTHETIC_ONLY	0.0	0.0	0.0	0.0	0.0	1.0	0.7299270072992701	0.22992700729927007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.7299270072992701	0.22992700729927007	0.0	0.0			
