source	split_mode	blind_selection_metric	truth_metric_eval_only	n_candidates	spearman	kendall	top_k_selection_regret	selected_in_truth_top_quartile	truth_used_in_selection
synthetic_model_mismatched	genomic_block_5Mb	blind_heldout_pseudo_nll	exact_top1_accuracy_eval_only	7	-0.21428571428571433	-0.14285714285714288	0.039215686274509776	0.0	none
synthetic_model_mismatched	genomic_block_5Mb	blind_heldout_pseudo_nll	same_cross_accuracy_eval_only	7	0.12613124477737828	0.19518001458970663	0.0011534025374855261	1.0	none
synthetic_model_mismatched	genomic_block_5Mb	blind_heldout_pseudo_nll	unordered_structure_distance_spearman_eval_only	7	0.5	0.33333333333333337	0.0	1.0	none
synthetic_model_mismatched	genomic_block_5Mb	blind_heldout_pmax_surprisal	exact_top1_accuracy_eval_only	7	-0.21428571428571433	-0.14285714285714288	0.02076124567474047	0.0	none
synthetic_model_mismatched	genomic_block_5Mb	blind_heldout_pmax_surprisal	same_cross_accuracy_eval_only	7	0.8468812149338255	0.6831300510639733	0.0	1.0	none
synthetic_model_mismatched	genomic_block_5Mb	blind_heldout_pmax_surprisal	unordered_structure_distance_spearman_eval_only	7	0.1785714285714286	0.14285714285714288	0.04982380325450031	0.0	none
synthetic_model_mismatched	genomic_block_10Mb	blind_heldout_pseudo_nll	exact_top1_accuracy_eval_only	7	-0.3214285714285715	-0.14285714285714288	0.030109489051094895	0.0	none
synthetic_model_mismatched	genomic_block_10Mb	blind_heldout_pseudo_nll	same_cross_accuracy_eval_only	7	-0.25	-0.14285714285714288	0.030109489051094895	0.0	none
synthetic_model_mismatched	genomic_block_10Mb	blind_heldout_pseudo_nll	unordered_structure_distance_spearman_eval_only	7	-0.7500000000000002	-0.5238095238095238	0.08998412261019029	0.0	none
synthetic_model_mismatched	genomic_block_10Mb	blind_heldout_pmax_surprisal	exact_top1_accuracy_eval_only	7	-0.7500000000000002	-0.6190476190476191	0.021897810218978075	0.0	none
synthetic_model_mismatched	genomic_block_10Mb	blind_heldout_pmax_surprisal	same_cross_accuracy_eval_only	7	-0.7857142857142859	-0.6190476190476191	0.022810218978102204	0.0	none
synthetic_model_mismatched	genomic_block_10Mb	blind_heldout_pmax_surprisal	unordered_structure_distance_spearman_eval_only	7	0.10714285714285716	0.14285714285714288	0.0	1.0	none
