config_name	policy	flip_source	n_eval_contacts	top1_accuracy	same_cross_accuracy	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_pair_decoder_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_records	decoder_selection_total_weight
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_margin_geom_gap_weighted	blind_posterior_reconstruction_geometry	143977	0.337289984	0.53584253	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_pmax_geom_gap_weighted	blind_posterior_reconstruction_geometry	143977	0.337289984	0.53584253	0.398220043	0.168131021	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_same_cross_distance_sum	blind_posterior_reconstruction_geometry	143977	0.284906617	0.494245609	0.315621504	0.133257395	-0.0523833668	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_posterior_mass_same_cross	blind_posterior_reconstruction_geometry	143977	0.281357439	0.482132563	0.30160558	0.127339783	-0.0559325448	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_chrom_center_same_closer	blind_reconstruction_geometry	143977	0.285330296	0.502205213	0.31603277	0.133431034	-0.051959688	0	1	0	0	1	raw_reconstruction_chrom_centers_plus_raw_trans_pair_set	190	NA
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	blind_chrom_homolog_vector_dot	blind_reconstruction_geometry	143977	0.290060218	0.511171923	0.326265052	0.137751169	-0.0472297659	0	1	0	0	1	raw_reconstruction_chrom_centers_plus_raw_trans_pair_set	190	NA
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	cis_selected_whole_chrom	cis_snp_truth_whole_chrom	143977	0.335692506	0.537169131	0.38513846	0.179382818	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	pair_independent_4state_oracle	snp_truth_oracle	143977	0.444571008	0.630496538	0.559850281	0.260756926	0.108878501	1	1	1	1	1	snp_truth_eval_contacts	114605	143977
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_geom_nearest_to_posterior_top	blind_posterior_reconstruction_geometry	143977	0.335692506	0.537169131	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_geom_nearest_gap_weighted	blind_posterior_reconstruction_geometry	143977	0.335692506	0.537169131	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_margin_geom_gap_weighted	blind_posterior_reconstruction_geometry	143977	0.335692506	0.537169131	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_pmax_geom_gap_weighted	blind_posterior_reconstruction_geometry	143977	0.335692506	0.537169131	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_same_cross_distance_sum	blind_posterior_reconstruction_geometry	143977	0.282697931	0.490703376	0.29545624	0.137612258	-0.0529945755	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_posterior_mass_same_cross	blind_posterior_reconstruction_geometry	143977	0.264021337	0.461122263	0.264617725	0.123248852	-0.0716711697	0	1	0	0	1	raw_posterior_trans_bpair	403163	568434
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_chrom_center_same_closer	blind_reconstruction_geometry	143977	0.292227231	0.500246567	0.316139519	0.147245741	-0.0434652757	0	1	0	0	1	raw_reconstruction_chrom_centers_plus_raw_trans_pair_set	190	NA
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	blind_chrom_homolog_vector_dot	blind_reconstruction_geometry	143977	0.298450447	0.508879891	0.327249139	0.152420178	-0.0372420595	0	1	0	0	1	raw_reconstruction_chrom_centers_plus_raw_trans_pair_set	190	NA
