contact_class	n_edges	sum_k	sum_abs_force	sum_energy	mean_r	median_r	p10_r	p90_r	mean_distance	mean_d_scale	mean_prob	force_per_k	frac_k_repulsive	frac_k_zero_force	frac_k_quadratic_attractive	frac_k_tail_attractive	net_force_l2	sum_endpoint_force_l2	cancellation_ratio
cis	94892	43807.6078	8087.4672	2203.92995	1.30895546	1.32406736	0.619012031	1.76542605	0.731596187	0.610258576	0.712386173	0.184613304	0.0405022807	0.575877208	0.334550222	0.0490702891	6598.71195	16174.9344	0.592040884
trans	22248	4077.2172	2998.10089	3370.28514	2.18519839	2.0540794	1.01329921	3.94191536	1.45656312	0.719741816	0.789647087	0.735330188	0.00512229942	0.267070977	0.293925892	0.433880832	3854.95295	5996.20178	0.357100862
