config_name	score_name	target_called_fraction	actual_called_contacts	actual_called_fraction	score_threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_all_trans	eval_only_uses_phase_labels_for_scoring	call_score_uses_phase_labels	call_score_uses_charm_or_reference
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	neg_entropy	0.75	107983	0.750001736	-0.850223276	0.360149283	0.270112587	0.545548836	0.409162575	0.339026372	0.537113567	0.0211229105	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	neg_entropy	1	143977	1	-1.3860522	0.339026372	0.339026372	0.537113567	0.537113567	0.339026372	0.537113567	0	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	distance_gap	0.01	1440	0.0100015975	4.02647985	0.5875	0.00587593852	0.752083333	0.00752203477	0.339026372	0.537113567	0.248473628	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	distance_gap	0.02	2880	0.020003195	3.73839481	0.539930556	0.0108003362	0.677083333	0.0135438299	0.339026372	0.537113567	0.200904183	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	distance_gap	0.05	7200	0.0500079874	3.31735561	0.505833333	0.025295707	0.627222222	0.031366121	0.339026372	0.537113567	0.166806961	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	distance_gap	0.1	14399	0.100009029	2.91092004	0.495451073	0.0495495808	0.625321203	0.0625377664	0.339026372	0.537113567	0.156424701	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	distance_gap	0.2	28796	0.200004167	2.35269802	0.448117794	0.0896254263	0.597374635	0.119477417	0.339026372	0.537113567	0.109091422	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	distance_gap	0.3	43194	0.300006251	1.94737852	0.425452609	0.127638442	0.582835579	0.174854317	0.339026372	0.537113567	0.0864262369	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	distance_gap	0.5	71989	0.500003473	1.28136068	0.393254525	0.196628628	0.563683341	0.281843628	0.339026372	0.537113567	0.0542281527	1	0	0
p9016_pcgamma1_td0p5_normdir0p03_msep1_lsep0p5_lct0p03_gct0p003	distance_gap	0.75	107984	0.750008682	0.587455382	0.361257223	0.270946054	0.549368425	0.412031088	0.339026372	0.537113567	0.022230851	1	0	0
