score	target_fraction	called_contacts	called_fraction	threshold	top1_accuracy	top1_recall	same_cross_accuracy	same_cross_recall	baseline_top1_accuracy	baseline_same_cross_accuracy	delta_top1_vs_baseline	score_uses_phase_labels	score_uses_charm_or_reference	eval_uses_phase_labels
distance_gap	0.01	1447	0.0100502164	3.91799745	0.707671044	0.0071122471	0.808569454	0.00812629795	0.355660974	0.561207693	0.35201007	0	1	1
distance_gap	0.02	2880	0.020003195	3.64659344	0.605555556	0.0121130458	0.708680556	0.0141758753	0.355660974	0.561207693	0.249894582	0	1	1
distance_gap	0.05	7205	0.0500427152	3.22347655	0.561832061	0.0281156018	0.680360861	0.0340471047	0.355660974	0.561207693	0.206171087	0	1	1
distance_gap	0.1	14398	0.100002084	2.81551984	0.528198361	0.0528209367	0.663703292	0.0663717121	0.355660974	0.561207693	0.172537387	0	1	1
distance_gap	0.2	28796	0.200004167	2.30213252	0.482185026	0.0964390146	0.636616197	0.127325892	0.355660974	0.561207693	0.126524052	0	1	1
distance_gap	0.3	43194	0.300006251	1.92076826	0.452007223	0.135604992	0.618280317	0.18548796	0.355660974	0.561207693	0.0963462496	0	1	1
distance_gap	0.5	71989	0.500003473	1.28141679	0.413882677	0.206942776	0.596452236	0.298228189	0.355660974	0.561207693	0.0582217029	0	1	1
distance_gap	0.75	107983	0.750001736	0.596605325	0.379430095	0.28457323	0.575034959	0.431277218	0.355660974	0.561207693	0.0237691219	0	1	1
distance_gap	1	143977	1	1.82391249e-06	0.355660974	0.355660974	0.561207693	0.561207693	0.355660974	0.561207693	0	0	1	1
n_phase_any_pairs	0.01	1447	0.0100502164	38	0.524533518	0.00527167534	0.690393918	0.00693860825	0.355660974	0.561207693	0.168872544	1	0	1
n_phase_any_pairs	0.02	2888	0.0200587594	29	0.559210526	0.0112170694	0.685595568	0.0137521965	0.355660974	0.561207693	0.203549553	1	0	1
n_phase_any_pairs	0.05	7199	0.0500010418	16	0.576885679	0.0288448849	0.671065426	0.0335539704	0.355660974	0.561207693	0.221224705	1	0	1
n_phase_any_pairs	0.1	14399	0.100009029	5	0.566775471	0.0566826646	0.668171401	0.0668231731	0.355660974	0.561207693	0.211114497	1	0	1
n_phase_any_pairs	0.2	28796	0.200004167	2	0.463501875	0.0927023066	0.61494652	0.122991867	0.355660974	0.561207693	0.107840902	1	0	1
n_phase_any_pairs	0.3	43194	0.300006251	1	0.408876233	0.122665426	0.585081261	0.175528036	0.355660974	0.561207693	0.0532152592	1	0	1
n_phase_any_pairs	0.5	71989	0.500003473	1	0.369195294	0.184598929	0.56284988	0.281426895	0.355660974	0.561207693	0.0135343201	1	0	1
n_phase_any_pairs	0.75	107983	0.750001736	0	0.343683728	0.257763393	0.552355463	0.414267557	0.355660974	0.561207693	-0.0119772456	1	0	1
n_phase_any_pairs	1	143977	1	0	0.355660974	0.355660974	0.561207693	0.561207693	0.355660974	0.561207693	0	1	0	1
n_phase_both_pairs	0.01	1447	0.0100502164	17	0.541119558	0.00543836863	0.677263303	0.00680664273	0.355660974	0.561207693	0.185458584	1	0	1
n_phase_both_pairs	0.02	2882	0.0200170861	13	0.547189452	0.0109531383	0.652324774	0.0130576412	0.355660974	0.561207693	0.191528478	1	0	1
n_phase_both_pairs	0.05	7200	0.0500079874	7	0.58125	0.0290671427	0.670972222	0.0335539704	0.355660974	0.561207693	0.225589026	1	0	1
n_phase_both_pairs	0.1	14399	0.100009029	3	0.55545524	0.0555505393	0.661920967	0.0661980733	0.355660974	0.561207693	0.199794266	1	0	1
n_phase_both_pairs	0.2	28796	0.200004167	1	0.458501181	0.0917021469	0.612515627	0.122505678	0.355660974	0.561207693	0.102840207	1	0	1
n_phase_both_pairs	0.3	43194	0.300006251	1	0.400032412	0.120012224	0.573876001	0.172166388	0.355660974	0.561207693	0.0443714383	1	0	1
n_phase_both_pairs	0.5	71989	0.500003473	1	0.368000667	0.184001611	0.56107183	0.280537864	0.355660974	0.561207693	0.0123396931	1	0	1
n_phase_both_pairs	0.75	107983	0.750001736	0	0.343683728	0.257763393	0.552355463	0.414267557	0.355660974	0.561207693	-0.0119772456	1	0	1
n_phase_both_pairs	1	143977	1	0	0.355660974	0.355660974	0.561207693	0.561207693	0.355660974	0.561207693	0	1	0	1
