arm	seed	n_chromosomes	mean_copy_swap_invariant_procrustes_rmsd	mean_copy_swap_invariant_rigid_rmsd	mean_copy_swap_invariant_distance_pearson	mean_copy_swap_invariant_distance_spearman	mean_chromosome_shape_preservation	mean_homolog_separation_spearman	cis_truth_state_fdg_energy_proxy	trans_truth_state_fdg_energy_proxy	n_cis_contacts_scored	n_trans_contacts_scored	chromosome_centroid_distance_spearman	runtime_seconds	truth_used_in_inference	placement_optimizer	placement_iterations	placement_n_unique_trans_state_contacts	placement_n_raw_trans_contact_mass	placement_initial_objective	placement_final_objective	placement_runtime_seconds	placement_converged	placement_seed
native_hickit_cis_only	17	20	1.3988308839180719	1.7654797932475546	0.7980954281180124	0.8036049606350995	0.7782571387508174	0.1727748647611199	1.8529343359813495	44.729890689288425	206057	143977	0.12678904941236163	21.338323613628745	ORACLE_CONTACT_PHASE									
native_hickit_cis_plus_trans	17	20	0.3233861808010046	1.2021110461491586	0.9849636326949615	0.9770033130401036	0.9198302808810709	0.9255724964866234	2.0868012902071986	10.287554549474033	206057	143977	0.9898664637160091	45.42505771620199	ORACLE_CONTACT_PHASE									
experimental_fixed_cis_rigid_trans_placement	17	20	1.3988308839180719	1.7654797932475546	0.7980954281180124	0.8036049606350995	0.7782571387508174	0.1727748647611199	1.8529343359813504	8.210999232841617	206057	143977	0.14986069011971465	9.336967300157994	ORACLE_CONTACT_PHASE	fixed_shape_rigid_body_adam_fdg_layout	350	108875	132365	37.475241404978526	6.726892078435751	9.336967300157994	1	17
native_hickit_cis_only	29	20	1.4377954174471854	1.7523135150501923	0.7794979948849607	0.7952894166785323	0.7680097652100061	0.15465253372424098	1.839471045755862	48.464902296302746	206057	143977	-0.16207622021895926	21.50459433114156	ORACLE_CONTACT_PHASE									
native_hickit_cis_plus_trans	29	20	0.9986960502117761	1.3970954094290207	0.9652692942019006	0.9483189214550654	0.8654837355410423	0.8032488483501126	2.0859472879578083	10.353441942593395	206057	143977	0.9481513557016451	47.45327433105558	ORACLE_CONTACT_PHASE									
experimental_fixed_cis_rigid_trans_placement	29	20	1.4377954174471854	1.7523135150501923	0.7794979948849607	0.7952894166785323	0.7680097652100061	0.15465253372424098	1.8394710457558618	7.494314566678726	206057	143977	0.21672068478351203	9.20179286878556	ORACLE_CONTACT_PHASE	fixed_shape_rigid_body_adam_fdg_layout	350	108875	132365	40.346924971287535	6.107564259517111	9.20179286878556	1	29
native_hickit_cis_only	43	20	1.3878482151227665	1.717009854068073	0.7967344567638399	0.8082817894027408	0.8438400266946269	0.17833488737768532	1.8614970383083373	47.60946716341299	206057	143977	-0.16512572880718376	22.54215705115348	ORACLE_CONTACT_PHASE									
native_hickit_cis_plus_trans	43	20	0.9377019463822126	1.3553682356342558	0.982025723606837	0.972971675295731	0.9133505067053909	0.9089232651372807	2.080196263593311	10.20987723656495	206057	143977	0.9792640414299274	51.49077955074608	ORACLE_CONTACT_PHASE									
experimental_fixed_cis_rigid_trans_placement	43	20	1.3878482151227665	1.717009854068073	0.7967344567638399	0.8082817894027408	0.8438400266946269	0.17833488737768532	1.8614970383083358	7.509787918023172	206057	143977	0.08245657774453587	9.179279446136206	ORACLE_CONTACT_PHASE	fixed_shape_rigid_body_adam_fdg_layout	350	108875	132365	39.69430426358337	6.119362264706349	9.179279446136206	1	43
