experiment	configuration	scope	target	minimum_confidence	callable_count	correct_count	coverage	precision	correct_recall	truth_used_in_inference
057	oracle_coords_fdg_flat	all	same_cross	0.9	273316	251903	0.7808270053766205	0.9216547878645963	0.8492791832991693	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	all	same_cross	0.9500000000000001	253256	238283	0.7235182867949971	0.9408780048646429	0.8033599902902147	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	all	same_cross	1.0	11324	11271	0.03235114303181977	0.9953196750264924	0.03799964936886396	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.0	206057	45558	1.0	0.2210941632655042	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.05	206057	45558	1.0	0.2210941632655042	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.1	206057	45558	1.0	0.2210941632655042	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.15000000000000002	206057	45558	1.0	0.2210941632655042	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.2	206057	45558	1.0	0.2210941632655042	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.25	206057	45558	1.0	0.2210941632655042	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.30000000000000004	205784	45475	0.9986751238734913	0.22098413870854877	0.9981781465384785	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.35000000000000003	205090	45279	0.9953071237570187	0.2207762445755522	0.9938759383642829	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.4	204235	45024	0.9911577864377332	0.2204519303743237	0.9882786777294876	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.45	202747	44492	0.9839364835943453	0.21944591042037614	0.9766012555423855	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.5	177710	32303	0.8624312690177961	0.1817736762140566	0.7090521971991747	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.55	135897	15771	0.6595116885133725	0.11605112695644496	0.3461741077308047	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.6000000000000001	118741	10569	0.5762531726658158	0.08900885119714336	0.23198999078098248	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.65	104818	7010	0.5086844902138729	0.06687782632753916	0.15386979235260548	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.7000000000000001	92341	4647	0.448133283508932	0.050324341300180854	0.10200184380350323	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.75	80962	3028	0.3929106994666524	0.037400261851238854	0.06646472628297993	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.8	70488	1920	0.3420801040488797	0.027238678924072182	0.04214408007375214	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.8500000000000001	59593	1072	0.289206384641143	0.017988689946805834	0.023530444707844943	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.9	49033	582	0.23795842897838948	0.011869557236962862	0.012774924272356117	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	0.9500000000000001	35270	217	0.17116623070315495	0.006152537567337681	0.004763159050002195	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	exact	1.0	0	0	0.0	nan	0.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.0	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.05	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.1	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.15000000000000002	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.2	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.25	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.30000000000000004	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.35000000000000003	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.4	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.45	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.5	206057	201325	1.0	0.9770354804738495	1.0	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.55	205510	200997	0.9973453947208782	0.9780399980536227	0.9983707934931082	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.6000000000000001	204980	200652	0.9947732908855317	0.9788857449507269	0.9966571464050664	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.65	204432	200235	0.9921138325803055	0.9794699459967129	0.9945858686203899	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.7000000000000001	203720	199721	0.9886584779939531	0.9803701158452778	0.9920327828138582	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.75	203046	199209	0.985387538399569	0.9811028042906533	0.9894896311933441	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.8	202273	198558	0.9816361492208466	0.9816337326286751	0.9862560536446044	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.8500000000000001	201145	197579	0.9761619357750525	0.9822714956871909	0.9813932695889731	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.9	199435	196081	0.9678632611364817	0.9831824905357636	0.9739525642617658	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	0.9500000000000001	195804	192790	0.9502419233513058	0.9846070560356275	0.9576058611697504	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	cis	same_cross	1.0	11310	11257	0.05488772524107407	0.995313881520778	0.055914566000248356	ORACLE_COORDINATES
057	oracle_coords_fdg_flat	trans	exact	0.0	143977	23886	1.0	0.16590149815595545	1.0	ORACLE_COORDINATES
