experiment	component	configuration	scope	metric	bin_index	lower	upper	count	coverage	mean_confidence	accuracy
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	cis	same_cross	9	0.9	1.0	204916	0.9944626972148484	0.9996342783105232	0.9793622752737707
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	0	0.0	0.1	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	1	0.1	0.2	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	2	0.2	0.30000000000000004	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	3	0.30000000000000004	0.4	67	0.0004653521048500802	0.3760320580591341	0.22388059701492538
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	4	0.4	0.5	516	0.003583905762725991	0.4624354152322082	0.25193798449612403
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	5	0.5	0.6000000000000001	4395	0.030525708967404516	0.5498666530252193	0.23003412969283277
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	6	0.6000000000000001	0.7000000000000001	4685	0.03253991957048695	0.6508518279273964	0.21664887940234792
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	7	0.7000000000000001	0.8	5612	0.03897844794654702	0.7517136896953334	0.21418389166072702
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	8	0.8	0.9	7885	0.05476569174243108	0.8548874005553212	0.22561826252377934
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	exact	9	0.9	1.0	120817	0.8391409739055543	0.9921705255863043	0.15501129807891273
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	0	0.0	0.1	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	1	0.1	0.2	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	2	0.2	0.30000000000000004	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	3	0.30000000000000004	0.4	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	4	0.4	0.5	0	0.0	nan	nan
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	5	0.5	0.6000000000000001	2949	0.02048243816720726	0.5505842244619482	0.5110206849779586
057	057A_oracle_coordinates_score_kernel_isolation	oracle_coords_dist2	trans	same_cross	6	0.6000000000000001	0.7000000000000001	3244	0.02253137653930836	0.651429143399015	0.5098643649815043
