config_name	standard_eval_trans_n	decoder_diag_trans_n	status
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	143977	143977	OK
p9016_pcgamma1_td0p5_mstep0_sep0	143977	143977	OK
p9016_pcgamma1_td0p5_mstep0p5_p4_w10_sep0	143977	143977	OK
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	143977	143977	OK
