metric	selection_direction	metric_source	metric_note	n_ranked	spearman_with_eval_trans	selected_config	selected_metric_value	selected_trans	selected_delta_vs_baseline	selected_gap_to_target	selected_is_eval_best	selected_rank_by_trans	target_met	eval_best_config	eval_best_trans	baseline_config	baseline_trans	target_trans
final_contact_energy	low	force	final contact energy	26	0.00512820513	p9016_heldout_td1_seed17_noise0	14539.2695	0.287868	0	0.1	0	25	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_contact_energy	high	force	final contact energy	26	0.00512820513	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	67300.9766	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_repulsion_energy	low	force	final repulsion energy	26	0.0064957265	p9016_heldout_td1_seed17_noise0	12743.043	0.287868	0	0.1	0	25	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_repulsion_energy	high	force	final repulsion energy	26	0.0064957265	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	20127.6289	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_backbone_energy	low	force	final backbone energy	26	-0.0290598291	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	60.5017052	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_backbone_energy	high	force	final backbone energy	26	-0.0290598291	p9016_heldout_best035_seed47_noise0p05	348.776703	0.317533	0.029665	0.070335	0	14	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_min_sep	low	geometry	minimum homolog copy separation	26	0.260854701	p9016_heldout_best035_seed83_noise0p05	0.245908692	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_min_sep	high	geometry	minimum homolog copy separation	26	0.260854701	p9016_heldout_chrpair_m1_p1_w0_seed59_noise0p05	1.97453427	0.331685	0.043817	0.056183	0	5	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
sep_p05	low	geometry	5th percentile homolog copy separation	26	-0.00239316239	p9016_heldout_best035_seed83_noise0p05	1.8441211	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
sep_p05	high	geometry	5th percentile homolog copy separation	26	-0.00239316239	p9016_heldout_td1_seed17_noise0	3.4680357	0.287868	0	0.1	0	25	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
sep_median	low	geometry	median homolog copy separation	26	0.0776068376	p9016_heldout_best035_seed59_noise0p05	4.1551652	0.315679	0.027811	0.072189	0	16	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
sep_median	high	geometry	median homolog copy separation	26	0.0776068376	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	5.21898937	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_mean_sep	low	geometry	mean homolog copy separation	26	0.0735042735	p9016_heldout_best035_seed83_noise0p05	4.14702129	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
final_mean_sep	high	geometry	mean homolog copy separation	26	0.0735042735	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	5.34933805	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
copytrack_vector_cos_p05	low	copytrack_geometry	5th percentile adjacent homolog-vector cosine	26	0.166495726	p9016_heldout_best035_seed83_noise0p05	0.884124348	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
copytrack_vector_cos_p05	high	copytrack_geometry	5th percentile adjacent homolog-vector cosine	26	0.166495726	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.960086917	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
copytrack_vector_cos_median	low	copytrack_geometry	median adjacent homolog-vector cosine	26	0.158290598	p9016_heldout_best035_seed83_noise0p05	0.991085715	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
copytrack_vector_cos_median	high	copytrack_geometry	median adjacent homolog-vector cosine	26	0.158290598	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.994188291	0.34251	0.054642	0.045358	1	1	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
copytrack_frac_cos_lt_0	low	copytrack_geometry	fraction adjacent homolog-vector cosine < 0	26	-0.226846319	p9016_heldout_chrpair_m0p5_p4_w10_seed17_noise0p05	0	0.312993	0.025125	0.074875	0	19	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
copytrack_frac_cos_lt_0	high	copytrack_geometry	fraction adjacent homolog-vector cosine < 0	26	-0.226846319	p9016_heldout_best035_seed83_noise0p05	0.00918484501	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
copytrack_frac_projection_sign_switch	low	copytrack_geometry	projection sign switch fraction	26	-0.155399735	p9016_heldout_chrpair_m1_p1_w0_seed97_noise0p05	0	0.329094	0.041226	0.058774	0	8	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
copytrack_frac_projection_sign_switch	high	copytrack_geometry	projection sign switch fraction	26	-0.155399735	p9016_heldout_best035_seed83_noise0p05	0.0225794106	0.311145	0.023277	0.076723	0	20	0	p9016_heldout_chrpair_m1_p1_w0_seed23_noise0p05	0.34251	p9016_heldout_td1_seed17_noise0	0.287868	0.387868
