config_name	basin_family	seed	init_noise_short	status	backend	heldout_fraction	heldout_seed	heldout_n_raw_train	heldout_n_raw_heldout	heldout_mean_expected_energy	heldout_mean_min_energy	heldout_mean_entropy	heldout_mean_pU	heldout_mean_best_normalized_distance	heldout_short_distance_frac	trans_dscale_multiplier	lambda_copytrack	lambda_global_copytrack	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	delta_trans_vs_heldout_td1_seed17	target_plus_0p1_vs_heldout_td1_met
p9016_heldout_chrpair_m1_p1_w0_seed83_noise0p05	chrpair_m1_p1_w0	83	0.05	OK	gpu	0.100000001	17	1533419	170469	0.51033453292041553	0.33375795165989536	0.63216148904706171	0.45600812133083746	1.3696410896585782	0.66460727931462749	0.5	0	0	1	1	0	0.468926	0.569573	0.316959	0.52412	0.778843	0.614757001	0.443453461	1.18713534	2.94251776	4.73976803	0	0.00229621125	0.029091	0
p9016_heldout_best035_seed59_noise0p05	best035	59	0.05	OK	gpu	0.100000001	17	1533419	170469	0.60714163939309262	0.3998521277094586	0.6733167905937083	0.48569539597216022	1.4290895623431292	0.65207692246841698	0.5	0.0299999993	0.00300000003	0	1	0	0.461499	0.558075	0.315679	0.525128	0.713955	0.685909152	0.494778872	0.650202751	2.26173711	4.16595459	0.00535782625	0.0126291619	0.027811	0
p9016_heldout_best035_seed23_noise0p05	best035	23	0.05	OK	gpu	0.100000001	17	1533419	170469	0.57748061224455427	0.38408783825549853	0.65421077934126703	0.47191332218974474	1.4178748022863259	0.65279678514076878	0.5	0.0299999993	0.00300000003	0	1	0	0.455052	0.547913	0.31484	0.520131	0.738765	0.661873639	0.477440923	0.355017394	2.61536121	4.57768345	0.00382701875	0.01224646	0.026972	0
p9016_heldout_chrpair_m1_p1_w0_seed17_noise0p05	chrpair_m1_p1_w0	17	0.05	OK	gpu	0.100000001	17	1533419	170469	0.48350053546931049	0.31501380062881829	0.60082599836750628	0.43340434296381808	1.3512815310832045	0.66447279947473759	0.5	0	0	1	1	0	0.468428	0.570709	0.313993	0.545005	0.808542	0.585657537	0.422462612	1.24375534	3.32729292	5.02154112	0.000382701875	0.00076540375	0.026125	0
p9016_heldout_chrpair_m0p5_p4_w10_seed17_noise0p05	chrpair_m0p5_p4_w10	17	0.05	OK	gpu	0.100000001	17	1533419	170469	0.49374818259914743	0.3183329937953927	0.60716433860653651	0.43797648884637452	1.3567378297393935	0.66333367612508209	0.5	0	0	0.5	4	10	0.472286	0.577786	0.312993	0.520322	0.774067	0.597333968	0.430885375	1.00328338	3.24738002	4.87264109	0	0.00114810563	0.025125	0
p9016_heldout_best035_seed83_noise0p05	best035	83	0.05	OK	gpu	0.100000001	17	1533419	170469	0.61696741834192181	0.41065651034656403	0.69102311482575574	0.49846780905980032	1.4382966389765552	0.65410994122439936	0.5	0.0299999993	0.00300000003	0	1	0	0.441723	0.528203	0.311145	0.519704	0.601046	0.694328547	0.500852168	0.245908692	1.8441211	4.14702129	0.00918484501	0.0225794106	0.023277	0
p9016_heldout_chrpair_m0p5_p4_w10_seed71_noise0p05	chrpair_m0p5_p4_w10	71	0.05	OK	gpu	0.100000001	17	1533419	170469	0.5120494605999798	0.33334213001751878	0.61288674889432004	0.44210433549230982	1.3690507871669273	0.6622736585635971	0.5	0	0	0.5	4	10	0.453609	0.548703	0.310027	0.520757	0.734778	0.591317594	0.426545471	0.381224513	2.99650431	4.55528545	0.00382701875	0.01224646	0.022159	0
p9016_heldout_best035_seed17_noise0p05	best035	17	0.05	OK	gpu	0.100000001	17	1533419	170469	0.56682710780915713	0.37542093947224886	0.65788766041965463	0.47456563125478946	1.411608416085578	0.65282842745603697	0.5	0.0299999993	0.00300000003	0	1	0	0.450322	0.544229	0.308533	0.530191	0.689667	0.660164595	0.476208091	0.390168756	2.34140182	4.53850269	0.00420972063	0.0149253731	0.020665	0
p9016_heldout_best035_seed71_noise0p05	best035	71	0.05	OK	gpu	0.100000001	17	1533419	170469	0.60597141395149701	0.40118340863057383	0.67156176098419584	0.48442940981469779	1.4335525009996866	0.65269394761614707	0.5	0.0299999993	0.00300000003	0	1	0	0.436175	0.524962	0.302116	0.508077	0.633453	0.669095397	0.48265031	0.465201378	2.11841083	4.28788948	0.00880214313	0.0191350938	0.014248	0
p9016_heldout_chrpair_m1_p1_w0_seed47_noise0p05	chrpair_m1_p1_w0	47	0.05	OK	gpu	0.100000001	17	1533419	170469	0.51874210773125906	0.33997002934725551	0.62794584680272991	0.45296717822859622	1.3712546704850723	0.65986093202439622	0.5	0	0	1	1	0	0.456913	0.562228	0.297899	0.513905	0.810883	0.629774392	0.454286188	1.56104445	3.21292996	4.86287737	0.000382701875	0.00267891313	0.010031	0
p9016_heldout_td1_seed17_noise0	td1	17	0	OK	gpu	0.100000001	17	1533419	170469	0.59585976924760442	0.42856010878307882	0.59760553816909245	0.43108127191287349	1.4724205728601814	0.62815533212565167	1	0	0	0	1	0	0.441775	0.543707	0.287868	0.517195	0.770306	0.588657796	0.424626857	1.122383	3.4680357	5.08673382	0.0045924225	0.00574052813	0	0
p9016_heldout_chrpair_m1_p1_w0_seed71_noise0p05	chrpair_m1_p1_w0	71	0.05	OK	gpu	0.100000001	17	1533419	170469	0.49918795283121131	0.31885121140524586	0.6150928650832832	0.4436957120186239	1.3541699043544617	0.66456772642054218	0.5	0	0	1	1	0	0.455582	0.571425	0.280671	0.480921	0.791879	0.598560393	0.431770056	1.42828369	3.15025091	4.73058987	0.00114810563	0.0015308075	-0.007197	0
