scope	n_bpair	n_contacts	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	nearest_geometry_state_accuracy	same_cross_accuracy	pmax90_accuracy	pmax90_recall	chr_pair_oracle_delta_vs_whole	truth_state_distance_rank_mean	truth_state_distance_rank_median	posterior_top1_distance_rank_mean	posterior_top1_distance_rank_median	posterior_top1_distance_gap_mean	posterior_top1_distance_gap_median	truth_state_is_nearest_fraction	posterior_top1_is_nearest_fraction
genome_trans	6968	26362	0.455086867	0.552310143	0.456035202	0.574577043	0.495463623	0.329375616	0.0972232759	2.05621728	2	1.00766254	1	2.98633433	2.84136526	0.458690539	0.994272058
pmax_ge_0p9	3561	17525	0.495463623	0.602796006	0.495463623	0.591155492	0.495463623	0.495463623	0.107332382	1.95828816	2	1	1	3.65051987	3.45919914	0.498944365	1
pmax_0p75_0p9	1145	3462	0.426920855	0.499133449	0.426920855	0.570768342	NA	0	0.0722125939	2.20450607	2	1	1	2.20328354	1.92812161	0.426343154	1
pmax_0p5_0p75	1490	3858	0.34059098	0.435458787	0.340331778	0.515033696	NA	0	0.0948678072	2.30145153	2	1.00777605	1	1.45359088	1.1361788	0.343442198	0.99222395
pmax_lt_0p5	772	1517	0.344100198	0.387607119	0.361239288	0.543177324	NA	0	0.0435069216	2.22544496	2	1.11338167	1	0.998459961	0.647392461	0.360580092	0.92023731
