config_name	lambda_copytrack	lambda_global_copytrack	min_sep_unit	lambda_sep	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	delta_trans_vs_baseline	target_plus_0p1_met	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	final_mean_entropy	final_mean_pU	final_min_sep	sep_p05	final_mean_sep	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1
p9016_pcgamma1_msep1_lsep0p5_lct0p01_gct0p01_ieps0p5_noise0_seed17	0.00999999978	0.00999999978	1	0.5	0.473243	0.574724	0.328004	0.012634	0	0.526827	0.793963	0.605196118	0.436556727	1.31942332	3.48908162	4.84167242	0.0015308075	0.003061615	0.00275707008	0.00796258192
p9016_pcgamma1_msep1_lsep0p5_lct0_gct0p01_ieps0p5_noise0_seed17	0	0.00999999978	1	0.5	0.471186	0.571628	0.327434	0.012064	0	0.527765	0.791643	0.605228722	0.436580271	1.53278816	3.51447892	4.85355091	0.0015308075	0.00382701875	0	0.00797217484
p9016_pcgamma1_sep0_lct0p003_gct0_ieps0p5_noise0_seed17	0.00300000003	0	0	0	0.46884	0.567862	0.327122	0.011752	0	0.532279	0.798299	0.607007027	0.437863022	1.52308083	3.68156242	5.01408863	0.0015308075	0.00382701875	0.000832280425	0
p9016_pcgamma1_msep1_lsep1_lct0p01_gct0p01_ieps0p5_noise0_seed17	0.00999999978	0.00999999978	1	1	0.472166	0.575147	0.324781	0.009411	0	0.52557	0.792007	0.601511538	0.433898866	1.60109282	3.39084244	4.83074951	0.00076540375	0.00344431688	0.00273135693	0.00787159719
p9016_pcgamma1_sep0_lct0_gct0p003_ieps0p5_noise0_seed17	0	0.00300000003	0	0	0.467957	0.568687	0.323795	0.008425	0	0.522313	0.797256	0.610846996	0.440632969	1.42230642	3.57992506	4.97040129	0.00191350938	0.00267891313	0	0.00250506236
p9016_pcgamma1_sep0_lct0p03_gct0p01_ieps0p5_noise0_seed17	0.0299999993	0.00999999978	0	0	0.469314	0.571225	0.323461	0.008091	0	0.527619	0.791962	0.620948434	0.447919607	1.39030683	3.43103409	4.87455988	0.00191350938	0.00497512438	0.00789149268	0.00805960709
p9016_pcgamma1_msep1_lsep0p5_lct0p03_gct0p01_ieps0p5_noise0_seed17	0.0299999993	0.00999999978	1	0.5	0.4691	0.572196	0.321551	0.006181	0	0.522834	0.791861	0.607792139	0.438429356	1.42068315	3.32314348	4.80211735	0.00114810563	0.00344431688	0.00787365004	0.00770996681
p9016_pcgamma1_msep1_lsep1_lct0p03_gct0p01_ieps0p5_noise0_seed17	0.0299999993	0.00999999978	1	1	0.467963	0.571007	0.320489	0.005119	0	0.521528	0.788995	0.605444014	0.436735511	1.71426082	3.23360848	4.796422	0.00076540375	0.00267891313	0.00787846374	0.00772642471
p9016_pcgamma1_sep0_lct0_gct0p03_ieps0p5_noise0_seed17	0	0.0299999993	0	0	0.461181	0.559748	0.320114	0.004744	0	0.525278	0.781911	0.636047959	0.458811611	1.25102425	3.33570457	4.71781111	0.0015308075	0.00880214313	0	0.0223580739
p9016_pcgamma1_sep0_lct0p01_gct0p03_ieps0p5_noise0_seed17	0.00999999978	0.0299999993	0	0	0.463044	0.563626	0.319093	0.003723	0	0.523035	0.779025	0.637080669	0.45955655	1.14614439	3.26086378	4.7031579	0.00344431688	0.00995024876	0.00294463654	0.0222840917
p9016_pcgamma1_msep1p5_lsep1_lct0p01_gct0p01_ieps0p5_noise0_seed17	0.00999999978	0.00999999978	1.5	1	0.466466	0.571832	0.315668	0.000298	0	0.519444	0.797739	0.604443133	0.436013579	1.45236945	3.34523559	4.8393507	0.00076540375	0.0045924225	0.00272150467	0.00792100587
p9016_pcgamma1_sep0_lct0_gct0_ieps0p5_noise0_seed17	0	0	0	0	0.465049	0.569634	0.31537	0	0	0.51179	0.800612	0.607306719	0.438079208	1.53509235	3.72130752	5.014678	0.00191350938	0.003061615	0	0
p9016_pcgamma1_sep0_lct0_gct0p001_ieps0p5_noise0_seed17	0	0.00100000005	0	0	0.463081	0.567324	0.31389	-0.00148	0	0.517222	0.797198	0.611304224	0.440962762	1.56193113	3.62275386	4.99303818	0.00191350938	0.00382701875	0	0.000843288735
p9016_pcgamma1_sep0_lct0_gct0p1_ieps0p5_noise0_seed17	0	0.100000001	0	0	0.442123	0.537376	0.305799	-0.009571	0	0.507324	0.6899	0.634370327	0.457601458	1.21122575	3.06141543	4.64760113	0.00535782625	0.0145426713	0	0.0442287684
