check	config_name	status	detail
manifest_value:copy_labels_are_gauge_only	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=1 expected=1
manifest_value:dscale_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=posterior_count expected=posterior_count
manifest_value:d_scale_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=posterior_count expected=posterior_count
manifest_value:d_scale_posterior_gamma	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=1 expected=1
manifest_value:trans_k_multiplier	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=1 expected=1
manifest_value:rho_train_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=constant expected=constant
manifest_value:rho_train	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=1 expected=1
manifest_value:rho_train_floor	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0 expected=0
manifest_value:temperature_start	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=1 expected=1
manifest_value:temperature_end	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=1 expected=1
manifest_value:trans_top1_mstep_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=off expected=off
manifest_value:trans_gate_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_prior_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_mstep_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=off expected=off
manifest_value:trans_callable_anchor_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=off expected=off
manifest_value:copytrack_uses_phase_labels	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0 expected=0
manifest_value:copytrack_uses_charm_or_reference	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_phase_labels	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_charm_or_reference	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_phase_labels	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_charm_or_reference	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0 expected=0
manifest_value:config_name	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=p9016_transgamma_g0p5_td0p75_seed17_best035 expected=p9016_transgamma_g0p5_td0p75_seed17_best035
manifest_value:init_seed	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=17 expected=17
manifest_value:init_noise_scale	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0 expected=0
manifest_value:trans_d_scale_posterior_gamma	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0.5 expected=0.5
manifest_value:trans_dscale_multiplier	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=0.75 expected=0.75
manifest_value:trans_dscale_effective_count_formula	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=n_raw*posterior_prob^0.5 expected=n_raw*posterior_prob^0.5
manifest_value:trans_dscale_probability_weighted	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=1 expected=1
manifest_value:trans_contact_scaling_mode	p9016_transgamma_g0p5_td0p75_seed17_best035	PASS	actual=trans_edge_scaling expected=trans_edge_scaling
summary_status_ok	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	OK
summary_finite:model_top1_accuracy_genome_all	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	0.467043
summary_finite:model_top1_accuracy_genome_cis	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	0.565208
summary_finite:model_top1_accuracy_genome_trans	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	0.326552
summary_finite:model_same_cross_accuracy_genome_trans	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	0.528987
summary_finite:mean_per_chrom_cis_distance_spearman	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	0.779458
summary_finite:final_mean_entropy	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	0.658691585
summary_finite:final_mean_pU	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	0.475145549
summary_finite:final_min_sep	p9016_transgamma_g0p75_td0p75_seed17_best035	PASS	0.938023865
