config_name	graph_mode	dscale_mode	dscale_gamma	trans_dscale_multiplier	min_sep_unit	lambda_sep	n_fixed_edges	final_contact_energy	final_repulsion_energy	final_backbone_energy	final_sep_energy	final_min_sep	sep_p05	final_mean_sep	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	nearest_geometry_state_accuracy	same_cross_accuracy	truth_state_is_nearest_fraction	posterior_top1_is_nearest_fraction	posterior_top1_distance_rank_mean	trans_force_per_k	trans_mean_r	trans_frac_k_tail_attractive	trans_frac_k_zero_force	trans_cancellation_ratio	cis_force_per_k	cis_mean_r	status
p9016_fixed_pc_same_cross_gated	same_cross_gated	posterior_count	1	1	1.5	1	117130	5259.77148	3027.70728	85.975708	0.061398074	1.30150211	2.63790584	5.59030962	0.616134	0.638402	0.455087	0.574577	0.784787	0.455086867	0.552310143	0.455845535	0.574577043	0.458349139	0.992527122	1.00948335	0.71993813	2.17497217	0.422221979	0.280716251	0.318486721	0.185136667	1.30972562	OK
p9016_fixed_pc_softall_replay	softall	posterior_count	1	1	1.5	1	234270	5801.15088	3192.87793	76.9549789	1.33482468	1.08556724	2.32902861	5.37491226	0.616134	0.638402	0.455087	0.574577	0.779202	0.455086867	0.552310143	0.457324937	0.574577043	0.460056141	0.991920188	1.01012821	0.747000329	2.19755331	0.443491461	0.262573857	0.374598611	0.180477291	1.3036358	OK
p9016_fixed_pc_softall_trans_dscale0p5	softall	posterior_count	1	0.5	1.5	1	234270	15217.8301	3599.01099	91.7991867	3.29603863	0.82634455	2.16228271	5.25710821	0.616134	0.638402	0.455087	0.574577	0.776702	0.455086867	0.552310143	0.457476671	0.574577043	0.460169942	0.988961384	1.01346635	1.18500049	3.8095651	0.774748731	0.0794791688	0.438814439	0.196421339	1.31541444	OK
p9016_fixed_pc_softall_trans_dscale0p75	softall	posterior_count	1	0.75	1.5	1	234270	8679.15527	3395.30933	83.7558746	2.20889878	1.0251863	2.23110271	5.30245113	0.616134	0.638402	0.455087	0.574577	0.777715	0.455086867	0.552310143	0.457552538	0.574577043	0.460283742	0.990023519	1.01236628	0.958622597	2.72260128	0.602524111	0.165185415	0.407683254	0.188008086	1.30942829	OK
p9016_fixed_pc_top1_only	top1_only	posterior_count	1	1	1.5	1	58565	5409.64062	3293.08301	103.262291	0.0729612336	1.28237736	2.65482855	5.6833353	0.616134	0.638402	0.455087	0.574577	0.779803	0.455086867	0.552310143	0.456300736	0.574577043	0.458994007	0.992754723	1.00917988	0.681807555	2.12642362	0.395542598	0.29986703	0.320886916	0.250808196	1.36439605	OK
p9016_fixed_pc_top2_only	top2_only	posterior_count	1	1	1.5	1	117140	5574.36377	3101.19556	80.9707642	0.785080135	1.12300837	2.44478893	5.49372959	0.616134	0.638402	0.455087	0.574577	0.780691	0.455086867	0.552310143	0.457211137	0.574577043	0.459828541	0.990895987	1.01115242	0.735330188	2.18519839	0.433880832	0.267070977	0.357100862	0.184613304	1.30895546	OK
