config_name	base_policy	policy	policy_family	selection_source	raw_selection_n_records	raw_selection_total_weight	raw_pair_count	eval_pair_count	raw_eval_pair_intersection_count	selected_pair_count	split_agree_pair_count	split_agree_pair_fraction	split_agree_raw_weight	split_agree_raw_weight_fraction	split_agree_eval_contacts	split_agree_eval_contact_fraction	oracle_comparable_pair_count	oracle_match_pair_count	oracle_match_pair_fraction	oracle_match_raw_weight_fraction	oracle_match_eval_contact_fraction
p9016_heldout_td1_seed17_noise0	geom_nearest_gap	raw_all_geom_nearest_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	55	0.289473684	0.318781057	0.312727674
p9016_heldout_td1_seed17_noise0	geom_nearest_gap	raw_split_agree_geom_nearest_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	55	0.289473684	0.318781057	0.312727674
p9016_heldout_td1_seed17_noise0	geom_top_to_nearest	raw_all_geom_top_to_nearest	blind_raw_all	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	55	0.289473684	0.318781057	0.312727674
p9016_heldout_td1_seed17_noise0	geom_top_to_nearest	raw_split_agree_geom_top_to_nearest	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	55	0.289473684	0.318781057	0.312727674
p9016_heldout_td1_seed17_noise0	margin_geom_gap	raw_all_margin_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	55	0.289473684	0.318781057	0.312727674
p9016_heldout_td1_seed17_noise0	margin_geom_gap	raw_split_agree_margin_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	55	0.289473684	0.318781057	0.312727674
p9016_heldout_td1_seed17_noise0	pmax_geom_gap	raw_all_pmax_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	55	0.289473684	0.318781057	0.312727674
p9016_heldout_td1_seed17_noise0	pmax_geom_gap	raw_split_agree_pmax_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	55	0.289473684	0.318781057	0.312727674
p9016_heldout_td1_seed17_noise0	posterior_same_cross_mass	raw_all_posterior_same_cross_mass	blind_raw_all	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	188	0.989473684	507540	0.992145563	134851	0.992390624	190	54	0.284210526	0.293049859	0.287544615
p9016_heldout_td1_seed17_noise0	posterior_same_cross_mass	raw_split_agree_posterior_same_cross_mass	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	188	0.989473684	507540	0.992145563	134851	0.992390624	190	53	0.278947368	0.289456914	0.284409611
p9016_heldout_td1_seed17_noise0	same_cross_distance_sum	raw_all_same_cross_distance_sum	blind_raw_all	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	58	0.305263158	0.310910982	0.307973654
p9016_heldout_td1_seed17_noise0	same_cross_distance_sum	raw_split_agree_same_cross_distance_sum	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	370268	511558	190	190	190	190	190	1	511558	1	135885	1	190	58	0.305263158	0.310910982	0.307973654
