config_name	base_policy	policy	policy_family	selection_source	raw_selection_n_records	raw_selection_total_weight	raw_pair_count	eval_pair_count	raw_eval_pair_intersection_count	selected_pair_count	split_agree_pair_count	split_agree_pair_fraction	split_agree_raw_weight	split_agree_raw_weight_fraction	split_agree_eval_contacts	split_agree_eval_contact_fraction	oracle_comparable_pair_count	oracle_match_pair_count	oracle_match_pair_fraction	oracle_match_raw_weight_fraction	oracle_match_eval_contact_fraction
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	raw_all_geom_nearest_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	96	0.505263158	0.550303113	0.544788404
p9016_multiseed_best035_seed17_noise0	geom_nearest_gap	raw_split_agree_geom_nearest_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	96	0.505263158	0.550303113	0.544788404
p9016_multiseed_best035_seed17_noise0	geom_top_to_nearest	raw_all_geom_top_to_nearest	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	96	0.505263158	0.550303113	0.544788404
p9016_multiseed_best035_seed17_noise0	geom_top_to_nearest	raw_split_agree_geom_top_to_nearest	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	96	0.505263158	0.550303113	0.544788404
p9016_multiseed_best035_seed17_noise0	margin_geom_gap	raw_all_margin_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	96	0.505263158	0.550303113	0.544788404
p9016_multiseed_best035_seed17_noise0	margin_geom_gap	raw_split_agree_margin_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	96	0.505263158	0.550303113	0.544788404
p9016_multiseed_best035_seed17_noise0	pmax_geom_gap	raw_all_pmax_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	96	0.505263158	0.550303113	0.544788404
p9016_multiseed_best035_seed17_noise0	pmax_geom_gap	raw_split_agree_pmax_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	190	1	568434	1	143977	1	190	96	0.505263158	0.550303113	0.544788404
p9016_multiseed_best035_seed17_noise0	posterior_same_cross_mass	raw_all_posterior_same_cross_mass	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	185	0.973684211	553754	0.974174662	140463	0.975593324	190	69	0.363157895	0.38926243	0.394632476
p9016_multiseed_best035_seed17_noise0	posterior_same_cross_mass	raw_split_agree_posterior_same_cross_mass	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	185	0.973684211	553754	0.974174662	140463	0.975593324	190	69	0.363157895	0.384779939	0.38890934
p9016_multiseed_best035_seed17_noise0	same_cross_distance_sum	raw_all_same_cross_distance_sum	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	189	0.994736842	565855	0.995462974	143515	0.996791154	190	74	0.389473684	0.404594025	0.404752148
p9016_multiseed_best035_seed17_noise0	same_cross_distance_sum	raw_split_agree_same_cross_distance_sum	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	190	190	189	0.994736842	565855	0.995462974	143515	0.996791154	190	74	0.389473684	0.404594025	0.404752148
