scope	copy_swap_policy	n_points	n_pairwise_distances	reference_rg	reconstruction_rg	distance_pearson	distance_spearman	distance_rmse_rg_norm	rigid_procrustes_rmsd_rg_norm	rigid_procrustes_applied_scale	similarity_scale_to_reference_diagnostic
genome	global_swap_0	1295	837865	3.432819101768847	2.3080270360944737	0.1251506497761726	0.103150846004693	0.7309691075348236	1.0919649177755595	1.0	0.3869272049492981
chr1	global_swap_0	98	4753	2.1475580027150474	2.0510934054593752	0.7214819372414815	0.696761840100633	0.5428466145291789	0.6454517371702192	1.0	0.8197786338544304
genome	global_swap_1	1295	837865	3.432819101768847	2.304554512346378	0.16508107994566773	0.16740219498174905	0.7145891472016115	1.019516818600593	1.0	0.5437221018589855
chr1	global_swap_1	98	4753	2.1475580027150474	2.051093405459375	0.7355027624399977	0.7035375085385526	0.5293538264536612	0.6076493552365886	1.0	0.8457439853904472
genome	per_chrom_best	1295	837865	3.432819101768847	2.3066001267606473	0.1609607414256377	0.15853118904264565	0.716315439735633	1.0810986375304839	1.0	0.4457282169955686
chr1	per_chrom_best	98	4753	2.1475580027150474	2.051093405459375	0.7355027624399977	0.7035375085385526	0.5293538264536612	0.6076493552365886	1.0	0.8457439853904472
