contact_set	source	scope	n_contacts	mean_distance	median_distance	p10_distance	p90_distance	p99_distance	min_distance	max_distance
snp_truth	charm3dg	genome_cis	163112	1.1280405435798602	0.993611561673262	0.4383443312574214	1.8563119583368508	4.652412850373869	0.07009764277020207	8.764041550032852
snp_truth	reconstruction	genome_cis	163112	0.9710138807711914	0.6382445069755096	0.30947441252494284	2.1870832818427473	4.128062716700256	0.05414210384381085	7.293552806606765
snp_truth	charm3dg	genome_trans	145813	2.3409418329245697	2.2018928119901444	0.9334843276043313	3.9362742873563503	5.482493093658101	0.11027762425727201	7.654960520345211
snp_truth	reconstruction	genome_trans	145813	1.2845776450138409	1.2665503497071773	0.6049057107556274	1.968812610052591	2.5535445024835957	0.04739708384561158	5.087321043383748
posterior_top1	charm3dg	genome_cis	544119	1.124503788619382	0.8500813919693496	0.37959571206758896	1.9338265401126682	6.5428668156155005	0.05372708089425558	8.173791580518484
posterior_top1	reconstruction	genome_cis	544119	0.4902052259679012	0.44369452542157606	0.2645804997278821	0.7169314477537154	1.6312340316961447	0.05414210384381085	4.0073871177040665
posterior_top1	charm3dg	genome_trans	563681	2.423510563907914	2.300683402063251	0.9797481215919271	4.007912849304387	5.592817427512169	0.11027762425727201	7.8783669903983835
posterior_top1	reconstruction	genome_trans	563681	1.3231888625847597	1.3148806340588066	0.6302077790726693	2.004230091734756	2.625827819386802	0.04739708384561158	5.133022050927725
