metric	selection_direction	metric_source	metric_note	n_ranked	spearman_with_eval_trans	selected_config	selected_metric_value	selected_trans	selected_delta_vs_baseline	selected_gap_to_target	selected_is_eval_best	selected_rank_by_trans	target_met	eval_best_config	eval_best_trans	baseline_config	baseline_trans	target_trans
final_global_copytrack_force_l1	high	force	global copytrack force L1	26	0.180777808	p9016_multiseed_best035_seed17_noise0	187.255081	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_normdir_copytrack_energy	low	force	normdir copytrack energy	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_normdir_copytrack_energy	high	force	normdir copytrack energy	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_normdir_copytrack_force_l1	low	force	normdir copytrack force L1	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_normdir_copytrack_force_l1	high	force	normdir copytrack force L1	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
force_diag_total_contact_force_l1	low	force	total contact force L1	26	-0.28957265	p9016_multiseed_td1_seed17_noise0	87144.2266	0.317509	0	0.1	0	17	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
force_diag_total_contact_force_l1	high	force	total contact force L1	26	-0.28957265	p9016_multiseed_chrpair_m1_p1_w0_seed97_noise0p05	158592.344	0.299569	-0.01794	0.11794	0	25	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
sep_force_l1_over_contact_force_l1	low	force_ratio	separation/contact force L1 ratio	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
sep_force_l1_over_contact_force_l1	high	force_ratio	separation/contact force L1 ratio	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_force_l1_over_contact_force_l1	low	force_ratio	copytrack/contact force L1 ratio	26	0.0406649412	p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	0	0.334769	0.01726	0.08274	0	10	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_force_l1_over_contact_force_l1	high	force_ratio	copytrack/contact force L1 ratio	26	0.0406649412	p9016_multiseed_best035_seed97_noise0p05	0.00560871229	0.311404	-0.006105	0.106105	0	20	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
global_copytrack_force_l1_over_contact_force_l1	low	force_ratio	global copytrack/contact force L1 ratio	26	0.19366175	p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	0	0.334769	0.01726	0.08274	0	10	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
global_copytrack_force_l1_over_contact_force_l1	high	force_ratio	global copytrack/contact force L1 ratio	26	0.19366175	p9016_multiseed_best035_seed17_noise0	0.00141011322	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
normdir_copytrack_force_l1_over_contact_force_l1	low	force_ratio	normdir copytrack/contact force L1 ratio	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
normdir_copytrack_force_l1_over_contact_force_l1	high	force_ratio	normdir copytrack/contact force L1 ratio	26	NA	p9016_multiseed_best035_seed17_noise0	0	0.352883	0.035374	0.064626	0	2	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_min_sep	low	geometry	minimum homolog copy separation	26	0.0755555556	p9016_multiseed_best035_seed31_noise0p05	0.237134248	0.342548	0.025039	0.074961	0	4	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_min_sep	high	geometry	minimum homolog copy separation	26	0.0755555556	p9016_multiseed_chrpair_m0p5_p4_w10_seed71_noise0p05	1.97402585	0.344284	0.026775	0.073225	0	3	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
sep_p05	low	geometry	5th percentile homolog copy separation	26	0.133675214	p9016_multiseed_best035_seed97_noise0p05	2.06341004	0.311404	-0.006105	0.106105	0	20	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
sep_p05	high	geometry	5th percentile homolog copy separation	26	0.133675214	p9016_multiseed_td1_seed17_noise0	3.66526151	0.317509	0	0.1	0	17	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
sep_median	low	geometry	median homolog copy separation	26	-0.212307692	p9016_multiseed_best035_seed31_noise0p05	4.06384516	0.342548	0.025039	0.074961	0	4	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
sep_median	high	geometry	median homolog copy separation	26	-0.212307692	p9016_multiseed_td1_seed17_noise0	4.9207921	0.317509	0	0.1	0	17	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_mean_sep	low	geometry	mean homolog copy separation	26	-0.187008547	p9016_multiseed_best035_seed31_noise0p05	4.07705784	0.342548	0.025039	0.074961	0	4	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
final_mean_sep	high	geometry	mean homolog copy separation	26	-0.187008547	p9016_multiseed_td1_seed17_noise0	5.01207876	0.317509	0	0.1	0	17	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_vector_cos_p05	low	copytrack_geometry	5th percentile adjacent homolog-vector cosine	26	0.123418803	p9016_multiseed_best035_seed97_noise0p05	0.885824829	0.311404	-0.006105	0.106105	0	20	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_vector_cos_p05	high	copytrack_geometry	5th percentile adjacent homolog-vector cosine	26	0.123418803	p9016_multiseed_td1_seed17_noise0	0.959452838	0.317509	0	0.1	0	17	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_vector_cos_median	low	copytrack_geometry	median adjacent homolog-vector cosine	26	0.0741880342	p9016_multiseed_best035_seed31_noise0p05	0.991287629	0.342548	0.025039	0.074961	0	4	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_vector_cos_median	high	copytrack_geometry	median adjacent homolog-vector cosine	26	0.0741880342	p9016_multiseed_chrpair_m1_p1_w0_seed71_noise0p05	0.993912938	0.337394	0.019885	0.080115	0	9	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_frac_cos_lt_0	low	copytrack_geometry	fraction adjacent homolog-vector cosine < 0	26	-0.112563606	p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	0	0.334769	0.01726	0.08274	0	10	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_frac_cos_lt_0	high	copytrack_geometry	fraction adjacent homolog-vector cosine < 0	26	-0.112563606	p9016_multiseed_best035_seed47_noise0p05	0.00880214313	0.315641	-0.001868	0.101868	0	19	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_frac_projection_sign_switch	low	copytrack_geometry	projection sign switch fraction	26	-0.134732965	p9016_multiseed_chrpair_m0p5_p4_w10_seed17_noise0p05	0	0.334769	0.01726	0.08274	0	10	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
copytrack_frac_projection_sign_switch	high	copytrack_geometry	projection sign switch fraction	26	-0.134732965	p9016_multiseed_best035_seed47_noise0p05	0.0229621125	0.315641	-0.001868	0.101868	0	19	0	p9016_multiseed_best035_seed71_noise0p05	0.35564	p9016_multiseed_td1_seed17_noise0	0.317509	0.417509
