config_name	base_policy	policy	policy_family	selection_source	raw_selection_n_records	raw_selection_total_weight	selected_pair_count	split_agree_pair_count	split_agree_pair_fraction	split_agree_raw_weight	split_agree_raw_weight_fraction	split_agree_eval_contacts	split_agree_eval_contact_fraction	oracle_comparable_pair_count	oracle_match_pair_count	oracle_match_pair_fraction	oracle_match_raw_weight_fraction	oracle_match_eval_contact_fraction
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	geom_nearest_gap	raw_all_geom_nearest_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	1	568434	1	143977	1	190	94	0.494736842	0.538375607	0.532605902
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	geom_nearest_gap	raw_split_agree_geom_nearest_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	1	568434	1	143977	1	190	94	0.494736842	0.538375607	0.532605902
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	geom_top_to_nearest	raw_all_geom_top_to_nearest	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	1	568434	1	143977	1	190	94	0.494736842	0.538375607	0.532605902
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	geom_top_to_nearest	raw_split_agree_geom_top_to_nearest	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	1	568434	1	143977	1	190	94	0.494736842	0.538375607	0.532605902
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	margin_geom_gap	raw_all_margin_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	1	568434	1	143977	1	190	94	0.494736842	0.538375607	0.532605902
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	margin_geom_gap	raw_split_agree_margin_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	1	568434	1	143977	1	190	94	0.494736842	0.538375607	0.532605902
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	pmax_geom_gap	raw_all_pmax_geom_gap	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	1	568434	1	143977	1	190	94	0.494736842	0.538375607	0.532605902
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	pmax_geom_gap	raw_split_agree_pmax_geom_gap	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	190	1	568434	1	143977	1	190	94	0.494736842	0.538375607	0.532605902
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	posterior_same_cross_mass	raw_all_posterior_same_cross_mass	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	185	0.973684211	553754	0.974174662	140463	0.975593324	190	68	0.357894737	0.383488672	0.388457879
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	posterior_same_cross_mass	raw_split_agree_posterior_same_cross_mass	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	185	0.973684211	553754	0.974174662	140463	0.975593324	190	68	0.357894737	0.379006182	0.382734742
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	same_cross_distance_sum	raw_all_same_cross_distance_sum	blind_raw_all	blind_raw_posterior_reconstruction_geometry	403163	568434	190	189	0.994736842	565855	0.995462974	143515	0.996791154	190	73	0.384210526	0.398820268	0.398577551
p9016_pcgamma1_td0p5_lct0p03_gct0p003_best035	same_cross_distance_sum	raw_split_agree_same_cross_distance_sum	blind_raw_split_agree_else_zero	blind_raw_posterior_reconstruction_geometry	403163	568434	190	189	0.994736842	565855	0.995462974	143515	0.996791154	190	73	0.384210526	0.398820268	0.398577551
