condition_id	diagram	generator_family	homolog_separation	contacts_per_cell	cis_fraction	background_fraction	resolution_bp	chromosome_count	chromosome_length_bins	readchain_length	molecule_count	count_overdispersion	anchor_fraction	base_seed	replicate_seeds	replicates	grid_policy	grid_stage	truth_used_in_inference	likelihood_match_status
anchor_fraction_x_contacts__model_mismatched__d500__sep1__cis0.65__bg0.05__a0__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	500	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	3342803000,3342804009,3342805018	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d2500__sep1__cis0.65__bg0.05__a0__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	3736425902,3736426911,3736427920	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d10000__sep1__cis0.65__bg0.05__a0__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	2115152743,2115153752,2115154761	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d500__sep1__cis0.65__bg0.05__a0.001__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	500	0.65	0.05	1000000	3	10	2	0	0.2	0.001	17	3342803000,3342804009,3342805018	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d2500__sep1__cis0.65__bg0.05__a0.001__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.2	0.001	17	3736425902,3736426911,3736427920	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d10000__sep1__cis0.65__bg0.05__a0.001__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.2	0.001	17	2115152743,2115153752,2115154761	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d500__sep1__cis0.65__bg0.05__a0.005__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	500	0.65	0.05	1000000	3	10	2	0	0.2	0.005	17	3342803000,3342804009,3342805018	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d2500__sep1__cis0.65__bg0.05__a0.005__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.2	0.005	17	3736425902,3736426911,3736427920	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d10000__sep1__cis0.65__bg0.05__a0.005__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.2	0.005	17	2115152743,2115153752,2115154761	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d500__sep1__cis0.65__bg0.05__a0.01__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	500	0.65	0.05	1000000	3	10	2	0	0.2	0.01	17	3342803000,3342804009,3342805018	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d2500__sep1__cis0.65__bg0.05__a0.01__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.2	0.01	17	3736425902,3736426911,3736427920	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d10000__sep1__cis0.65__bg0.05__a0.01__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.2	0.01	17	2115152743,2115153752,2115154761	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d500__sep1__cis0.65__bg0.05__a0.05__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	500	0.65	0.05	1000000	3	10	2	0	0.2	0.05	17	3342803000,3342804009,3342805018	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d2500__sep1__cis0.65__bg0.05__a0.05__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	2500	0.65	0.05	1000000	3	10	2	0	0.2	0.05	17	3736425902,3736426911,3736427920	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
anchor_fraction_x_contacts__model_mismatched__d10000__sep1__cis0.65__bg0.05__a0.05__r2__m0	anchor_fraction_x_contacts	model_mismatched	1.0	10000	0.65	0.05	1000000	3	10	2	0	0.2	0.05	17	2115152743,2115153752,2115154761	3	scientific_slices_not_cartesian	coarse	ORACLE_EXTERNAL_PHASE_ANCHORS	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r2__m0	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	2	0	0.2	0.0	17	4020874529,4020875538,4020876547	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r2__m20	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	2	20	0.2	0.0	17	4184202825,4184203834,4184204843	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r2__m80	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	2	80	0.2	0.0	17	2871972142,2871973151,2871974160	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r4__m0	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	4	0	0.2	0.0	17	548269429,548270438,548271447	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r4__m20	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	4	20	0.2	0.0	17	3477402238,3477403247,3477404256	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r4__m80	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	4	80	0.2	0.0	17	1885297137,1885298146,1885299155	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r6__m0	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	6	0	0.2	0.0	17	1379514508,1379515517,1379516526	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r6__m20	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	6	20	0.2	0.0	17	4196791205,4196792214,4196793223	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
readchain_length_x_molecule_count__model_mismatched__d1200__sep1__cis0.65__bg0.05__a0__r6__m80	readchain_length_x_molecule_count	model_mismatched	1.0	1200	0.65	0.05	1000000	3	10	6	80	0.2	0.0	17	3594148908,3594149917,3594150926	3	scientific_slices_not_cartesian	coarse	none	MISMATCHED_OR_MOLECULE_COMPOSITE
