condition_id	diagram	generator_family	homolog_separation	contacts_per_cell	cis_fraction	background_fraction	resolution_bp	chromosome_count	chromosome_length_bins	readchain_length	molecule_count	count_overdispersion	anchor_fraction	base_seed	replicate_seeds	replicates	grid_policy	grid_stage	truth_used_in_inference	likelihood_match_status
contacts_x_homolog_separation__well_specified__d12000__sep0.75__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	well_specified	0.75	12000	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	3997886958,3997887967,3997888976	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
contacts_x_homolog_separation__well_specified__d12000__sep2__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	well_specified	2.0	12000	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	1251235533,1251236542,1251237551	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
contacts_x_homolog_separation__well_specified__d1500__sep1.25__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	well_specified	1.25	1500	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	2942171642,2942172651,2942173660	3	scientific_slices_not_cartesian	transition_refinement	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
contacts_x_homolog_separation__well_specified__d1500__sep1.6__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	well_specified	1.6	1500	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	1424715760,1424716769,1424717778	3	scientific_slices_not_cartesian	transition_refinement	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
contacts_x_homolog_separation__well_specified__d6000__sep1.25__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	well_specified	1.25	6000	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	3617585181,3617586190,3617587199	3	scientific_slices_not_cartesian	transition_refinement	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
contacts_x_homolog_separation__well_specified__d6000__sep1.6__cis0.65__bg0.05__a0__r2__m0	contacts_x_homolog_separation	well_specified	1.6	6000	0.65	0.05	1000000	3	10	2	0	0.0	0.0	17	3331484579,3331485588,3331486597	3	scientific_slices_not_cartesian	transition_refinement	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
trans_fraction_x_background__well_specified__d1200__sep1__cis0.9__bg0__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.9	0.0	1000000	3	10	2	0	0.0	0.0	17	2484510499,2484511508,2484512517	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
trans_fraction_x_background__well_specified__d1200__sep1__cis0.9__bg0.2__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.9	0.2	1000000	3	10	2	0	0.0	0.0	17	3587562052,3587563061,3587564070	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
trans_fraction_x_background__well_specified__d1200__sep1__cis0.9__bg0.5__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.9	0.5	1000000	3	10	2	0	0.0	0.0	17	2666723852,2666724861,2666725870	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
trans_fraction_x_background__well_specified__d1200__sep1__cis0.5__bg0__a0__r2__m0	trans_fraction_x_background	well_specified	1.0	1200	0.5	0.0	1000000	3	10	2	0	0.0	0.0	17	586704944,586705953,586706962	3	scientific_slices_not_cartesian	coarse	none	MATCHED_PAIRWISE_ENDPOINT_LIKELIHOOD
